date,customer_segment,product,payment_status,charges,refunds,gross_revenue,stripe_fees,net_revenue,active_subscriptions,failed_payments
2025-03-06,SMB,Core,succeeded,35,2,7595,230.76,7364.24,572,4
2025-03-07,Mid-market,Analytics,succeeded,36,3,8460,256.14,8203.86,582,0
2025-03-08,Enterprise,Automation,succeeded,26,1,3770,117.13,3652.87,592,1
2025-03-09,Startup,Advisory,refunded,27,2,4401,135.73,4265.27,602,2
2025-03-10,SMB,Core,succeeded,28,3,5068,155.37,4912.63,612,3
2025-03-11,Mid-market,Analytics,succeeded,29,1,5771,176.06,5594.94,622,4
2025-03-12,Enterprise,Automation,succeeded,30,2,6510,197.79,6312.21,632,0
2025-03-13,Startup,Advisory,refunded,31,3,7285,220.57,7064.43,642,1
2025-03-14,SMB,Core,succeeded,32,1,4640,144.16,4495.84,598,2
2025-03-15,Mid-market,Analytics,succeeded,33,2,5379,165.89,5213.11,608,3
2025-03-16,Enterprise,Automation,succeeded,34,3,6154,188.67,5965.33,618,4
2025-03-17,Startup,Advisory,refunded,35,1,6965,212.49,6752.52,628,0
2025-03-18,SMB,Core,succeeded,36,2,7812,237.35,7574.65,638,1
2025-03-19,Mid-market,Analytics,succeeded,26,3,6110,184.99,5925.01,648,2
2025-03-20,Enterprise,Automation,succeeded,27,1,3915,121.64,3793.37,658,3
2025-03-21,Startup,Advisory,refunded,28,2,4564,140.76,4423.24,668,4
2025-03-22,SMB,Core,succeeded,29,3,5249,160.92,5088.08,678,0
2025-03-23,Mid-market,Analytics,succeeded,30,1,5970,182.13,5787.87,634,1
2025-03-24,Enterprise,Automation,succeeded,31,2,6727,204.38,6522.62,644,2
2025-03-25,Startup,Advisory,refunded,32,3,7520,227.68,7292.32,654,3
2025-03-26,SMB,Core,succeeded,33,1,4785,148.67,4636.34,664,4
2025-03-27,Mid-market,Analytics,succeeded,34,2,5542,170.92,5371.08,674,0
2025-03-28,Enterprise,Automation,succeeded,35,3,6335,194.22,6140.78,684,1
2025-03-29,Startup,Advisory,refunded,36,1,7164,218.56,6945.44,694,2
2025-03-30,SMB,Core,succeeded,26,2,5642,171.42,5470.58,704,3
2025-03-31,Mid-market,Analytics,succeeded,27,3,6345,192.1,6152.89,714,4
2025-04-01,Enterprise,Automation,succeeded,28,1,4060,126.14,3933.86,670,0
2025-04-02,Startup,Advisory,refunded,29,2,4727,145.78,4581.22,680,1
2025-04-03,SMB,Core,succeeded,30,3,5430,166.47,5263.53,690,2
2025-04-04,Mid-market,Analytics,succeeded,31,1,6169,188.2,5980.8,700,3
2025-04-05,Enterprise,Automation,succeeded,32,2,6944,210.98,6733.02,710,4
2025-04-06,Startup,Advisory,refunded,33,3,7755,234.8,7520.2,720,0
2025-04-07,SMB,Core,succeeded,34,1,4930,153.17,4776.83,730,1
2025-04-08,Mid-market,Analytics,succeeded,35,2,5705,175.95,5529.06,740,2
2025-04-09,Enterprise,Automation,succeeded,36,3,6516,199.76,6316.24,750,3
2025-04-10,Startup,Advisory,refunded,26,1,5174,157.85,5016.15,706,4
