date,channel,campaign,sessions,users,new_users,conversions,revenue,bounce_rate,engagement_rate
2025-01-26,Paid Search,Brand Always On,1475,1062,752,55,5610,0.568,0.476
2025-01-27,Email,Product Education,1533,1104,782,58,6148,0.556,0.49
2025-01-28,Social,Retargeting,1591,1146,811,34,3740,0.544,0.504
2025-01-29,Organic Search,Spring Launch,1649,1187,841,37,3182,0.532,0.42
2025-01-30,Paid Search,Brand Always On,1707,1229,871,40,3600,0.52,0.434
2025-01-31,Email,Product Education,1530,1102,780,43,4042,0.508,0.448
2025-02-01,Social,Retargeting,1588,1143,810,46,4508,0.496,0.462
2025-02-02,Organic Search,Spring Launch,1646,1185,839,49,4998,0.58,0.476
2025-02-03,Paid Search,Brand Always On,1704,1227,869,52,5512,0.568,0.49
2025-02-04,Email,Product Education,1762,1269,899,55,6050,0.556,0.504
2025-02-05,Social,Retargeting,1585,1141,808,58,4988,0.544,0.42
2025-02-06,Organic Search,Spring Launch,1643,1183,838,34,3060,0.532,0.434
2025-02-07,Paid Search,Brand Always On,1701,1225,868,37,3478,0.52,0.448
2025-02-08,Email,Product Education,1759,1266,897,40,3920,0.508,0.462
2025-02-09,Social,Retargeting,1817,1308,927,43,4386,0.496,0.476
2025-02-10,Organic Search,Spring Launch,1640,1181,836,46,4876,0.58,0.49
2025-02-11,Paid Search,Brand Always On,1698,1223,866,49,5390,0.568,0.504
2025-02-12,Email,Product Education,1756,1264,896,52,4472,0.556,0.42
2025-02-13,Social,Retargeting,1814,1306,925,55,4950,0.544,0.434
2025-02-14,Organic Search,Spring Launch,1872,1348,955,58,5452,0.532,0.448
2025-02-15,Paid Search,Brand Always On,1695,1220,864,34,3332,0.52,0.462
2025-02-16,Email,Product Education,1753,1262,894,37,3774,0.508,0.476
2025-02-17,Social,Retargeting,1811,1304,924,40,4240,0.496,0.49
2025-02-18,Organic Search,Spring Launch,1869,1346,953,43,4730,0.58,0.504
2025-02-19,Paid Search,Brand Always On,1927,1387,983,46,3956,0.568,0.42
2025-02-20,Email,Product Education,1750,1260,892,49,4410,0.556,0.434
2025-02-21,Social,Retargeting,1808,1302,922,52,4888,0.544,0.448
2025-02-22,Organic Search,Spring Launch,1866,1344,952,55,5390,0.532,0.462
2025-02-23,Paid Search,Brand Always On,1924,1385,981,58,5916,0.52,0.476
2025-02-24,Email,Product Education,1982,1427,1011,34,3604,0.508,0.49
2025-02-25,Social,Retargeting,1805,1300,921,37,4070,0.496,0.504
2025-02-26,Organic Search,Spring Launch,1863,1341,950,40,3440,0.58,0.42
2025-02-27,Paid Search,Brand Always On,1921,1383,980,43,3870,0.568,0.434
2025-02-28,Email,Product Education,1979,1425,1009,46,4324,0.556,0.448
2025-03-01,Social,Retargeting,2037,1467,1039,49,4802,0.544,0.462
2025-03-02,Organic Search,Spring Launch,1860,1339,949,52,5304,0.532,0.476
2025-03-03,Paid Search,Brand Always On,1918,1381,978,55,5830,0.52,0.49
2025-03-04,Email,Product Education,1976,1423,1008,58,6380,0.508,0.504
2025-03-05,Social,Retargeting,2034,1464,1037,34,2924,0.496,0.42
2025-03-06,Organic Search,Spring Launch,2092,1506,1067,37,3330,0.58,0.434
2025-03-07,Paid Search,Brand Always On,1915,1379,977,40,3760,0.568,0.448
2025-03-08,Email,Product Education,1973,1421,1006,43,4214,0.556,0.462
2025-03-09,Social,Retargeting,2031,1462,1036,46,4692,0.544,0.476
2025-03-10,Organic Search,Spring Launch,2089,1504,1065,49,5194,0.532,0.49
2025-03-11,Paid Search,Brand Always On,2147,1546,1095,52,5720,0.52,0.504
2025-03-12,Email,Product Education,1970,1418,1005,55,4730,0.508,0.42
2025-03-13,Social,Retargeting,2028,1460,1034,58,5220,0.496,0.434
2025-03-14,Organic Search,Spring Launch,2086,1502,1064,34,3196,0.58,0.448
2025-03-15,Paid Search,Brand Always On,2144,1544,1093,37,3626,0.568,0.462
2025-03-16,Email,Product Education,2202,1585,1123,40,4080,0.556,0.476
2025-03-17,Social,Retargeting,2025,1458,1033,43,4558,0.544,0.49
2025-03-18,Organic Search,Spring Launch,2083,1500,1062,46,5060,0.532,0.504
2025-03-19,Paid Search,Brand Always On,2141,1542,1092,49,4214,0.52,0.42
2025-03-20,Email,Product Education,2199,1583,1121,52,4680,0.508,0.434
2025-03-21,Social,Retargeting,2257,1625,1151,55,5170,0.496,0.448
2025-03-22,Organic Search,Spring Launch,2080,1498,1061,58,5684,0.58,0.462
2025-03-23,Paid Search,Brand Always On,2138,1539,1090,34,3468,0.568,0.476
2025-03-24,Email,Product Education,2196,1581,1120,37,3922,0.556,0.49
2025-03-25,Social,Retargeting,2254,1623,1150,40,4400,0.544,0.504
2025-03-26,Organic Search,Spring Launch,2312,1665,1179,43,3698,0.532,0.42
2025-03-27,Paid Search,Brand Always On,2135,1537,1089,46,4140,0.52,0.434
2025-03-28,Email,Product Education,2193,1579,1118,49,4606,0.508,0.448
2025-03-29,Social,Retargeting,2251,1621,1148,52,5096,0.496,0.462
2025-03-30,Organic Search,Spring Launch,2309,1662,1178,55,5610,0.58,0.476
2025-03-31,Paid Search,Brand Always On,2367,1704,1207,58,6148,0.568,0.49
2025-04-01,Email,Product Education,2190,1577,1117,34,3740,0.556,0.504
2025-04-02,Social,Retargeting,2248,1619,1146,37,3182,0.544,0.42
2025-04-03,Organic Search,Spring Launch,2306,1660,1176,40,3600,0.532,0.434
2025-04-04,Paid Search,Brand Always On,2364,1702,1206,43,4042,0.52,0.448
2025-04-05,Email,Product Education,2422,1744,1235,46,4508,0.508,0.462
2025-04-06,Social,Retargeting,2245,1616,1145,49,4998,0.496,0.476
2025-04-07,Organic Search,Spring Launch,2303,1658,1175,52,5512,0.58,0.49
2025-04-08,Paid Search,Brand Always On,2361,1700,1204,55,6050,0.568,0.504
2025-04-09,Email,Product Education,2419,1742,1234,58,4988,0.556,0.42
2025-04-10,Social,Retargeting,2477,1783,1263,34,3060,0.544,0.434
