date,campaign_name,ad_set,objective,spend,impressions,reach,clicks,leads,purchases,purchase_value,ctr,cpc,roas
2025-03-19,Retargeting,Lookalike 1%,Leads,805,44520,32945,979,37,23,3634,0.022,0.82,4.51
2025-03-20,Lead Generation,Website Visitors,Traffic,848,38780,28697,931,38,24,2352,0.024,0.91,2.77
2025-03-21,Brand Awareness,Customer List,Awareness,891,40240,29778,1046,39,25,2750,0.026,0.85,3.09
2025-03-22,Spring Demand,Broad Audience,Sales,934,41700,30858,751,40,26,3172,0.018,1.24,3.4
2025-03-23,Retargeting,Lookalike 1%,Leads,977,43160,31938,863,41,18,2412,0.02,1.13,2.47
2025-03-24,Lead Generation,Website Visitors,Traffic,1020,44620,33019,982,42,19,2774,0.022,1.04,2.72
2025-03-25,Brand Awareness,Customer List,Awareness,1063,46080,34099,1106,43,20,3160,0.024,0.96,2.97
2025-03-26,Spring Demand,Broad Audience,Sales,840,40340,29852,1049,32,21,2058,0.026,0.8,2.45
2025-03-27,Retargeting,Lookalike 1%,Leads,883,41800,30932,752,33,22,2420,0.018,1.17,2.74
2025-03-28,Lead Generation,Website Visitors,Traffic,926,43260,32012,865,34,23,2806,0.02,1.07,3.03
2025-03-29,Brand Awareness,Customer List,Awareness,969,44720,33093,984,35,24,3216,0.022,0.98,3.32
2025-03-30,Spring Demand,Broad Audience,Sales,1012,46180,34173,1108,36,25,3650,0.024,0.91,3.61
2025-03-31,Retargeting,Lookalike 1%,Leads,1055,47640,35254,1239,37,26,4108,0.026,0.85,3.89
2025-04-01,Lead Generation,Website Visitors,Traffic,1098,41900,31006,754,38,18,1764,0.018,1.46,1.61
2025-04-02,Brand Awareness,Customer List,Awareness,875,43360,32086,867,39,19,2090,0.02,1.01,2.39
2025-04-03,Spring Demand,Broad Audience,Sales,918,44820,33167,986,40,20,2440,0.022,0.93,2.66
2025-04-04,Retargeting,Lookalike 1%,Leads,961,46280,34247,1111,41,21,2814,0.024,0.86,2.93
2025-04-05,Lead Generation,Website Visitors,Traffic,1004,47740,35328,1241,42,22,3212,0.026,0.81,3.2
2025-04-06,Brand Awareness,Customer List,Awareness,1047,49200,36408,886,43,23,3634,0.018,1.18,3.47
2025-04-07,Spring Demand,Broad Audience,Sales,1090,43460,32160,869,32,24,2352,0.02,1.25,2.16
2025-04-08,Retargeting,Lookalike 1%,Leads,1133,44920,33241,988,33,25,2750,0.022,1.15,2.43
2025-04-09,Lead Generation,Website Visitors,Traffic,910,46380,34321,1113,34,26,3172,0.024,0.82,3.49
2025-04-10,Brand Awareness,Customer List,Awareness,953,47840,35402,1244,35,18,2412,0.026,0.77,2.53
