date,source,campaign,deal_stage,lifecycle_stage,region,contacts,new_contacts,marketing_qualified_leads,sales_qualified_leads,open_deals,deals_won,pipeline_value_usd,revenue_usd,marketing_spend_usd,email_open_rate,lead_to_customer_rate
2025-02-10,Organic Search,Partner Referral,Prospecting,Sales Qualified Lead,Western Europe,330,53,18,8,36,1,112320,1780,1470,0.2460,0.0189
2025-02-11,Paid Search,Partner Referral,Qualified,Opportunity,Western Europe,367,65,24,11,43,2,152779,3834,1553,0.2640,0.0308
2025-02-12,Paid Social,Partner Referral,Negotiation,Customer,Western Europe,404,79,31,15,18,2,71748,4108,1636,0.2820,0.0253
2025-02-13,Email,Partner Referral,Closed Won,Lead,Western Europe,441,94,39,20,25,2,110475,4382,1719,0.3000,0.0213
2025-02-14,Partner Referral,Partner Referral,Prospecting,Marketing Qualified Lead,Australia,478,111,49,21,32,3,155264,6984,1802,0.3180,0.0270
2025-02-15,Organic Search,Lifecycle Nurture,Qualified,Sales Qualified Lead,Australia,515,82,28,13,39,2,81315,4930,1885,0.3360,0.0244
2025-02-16,Paid Search,Lifecycle Nurture,Proposal Sent,Opportunity,Australia,272,48,18,9,14,2,35252,5204,718,0.3540,0.0417
2025-02-17,Paid Social,Lifecycle Nurture,Negotiation,Customer,Australia,309,61,24,12,21,2,61971,5478,801,0.3720,0.0328
2025-02-18,Email,Lifecycle Nurture,Closed Won,Lead,North America,346,74,31,13,28,1,94752,2876,884,0.2460,0.0135
2025-02-19,Partner Referral,Lifecycle Nurture,Qualified,Marketing Qualified Lead,North America,383,89,39,18,35,2,133595,6026,967,0.2640,0.0225
2025-02-20,Organic Search,Q1 Demand Generation,Proposal Sent,Sales Qualified Lead,North America,420,67,23,11,42,1,178500,3150,1050,0.2880,0.0149
2025-02-21,Paid Search,Q1 Demand Generation,Negotiation,Opportunity,North America,457,81,30,15,17,2,79611,6574,1133,0.3060,0.0247
2025-02-22,Paid Social,Q1 Demand Generation,Closed Won,Customer,United Kingdom,494,97,38,16,24,3,45984,10272,1216,0.3240,0.0309
2025-02-23,Email,Q1 Demand Generation,Prospecting,Lead,United Kingdom,251,54,22,10,31,2,72819,7122,1299,0.3420,0.0370
2025-02-24,Partner Referral,Q1 Demand Generation,Qualified,Marketing Qualified Lead,United Kingdom,288,67,29,14,38,1,105716,3698,1382,0.3600,0.0149
2025-02-25,Organic Search,Spring Product Launch,Proposal Sent,Sales Qualified Lead,United Kingdom,325,52,18,9,13,1,41795,3835,1465,0.3780,0.0192
2025-02-26,Paid Search,Spring Product Launch,Closed Won,Opportunity,Western Europe,362,64,23,10,20,1,72960,3972,1548,0.2520,0.0156
2025-02-27,Paid Social,Spring Product Launch,Prospecting,Customer,Western Europe,399,78,30,13,27,2,110187,3018,1631,0.2700,0.0256
2025-02-28,Email,Spring Product Launch,Qualified,Lead,Western Europe,436,93,39,19,34,3,153476,4938,1714,0.2880,0.0323
2025-03-01,Partner Referral,Spring Product Launch,Proposal Sent,Marketing Qualified Lead,Western Europe,473,110,48,24,41,5,202827,8915,1797,0.3060,0.0455
2025-03-02,Organic Search,Customer Webinar,Negotiation,Sales Qualified Lead,Australia,525,84,29,12,16,1,34880,1920,1880,0.3240,0.0119
2025-03-03,Paid Search,Customer Webinar,Closed Won,Opportunity,Australia,282,50,18,8,23,1,60099,2057,713,0.3420,0.0200
2025-03-04,Paid Social,Customer Webinar,Prospecting,Customer,Australia,319,63,25,12,30,2,91380,4388,796,0.3600,0.0317
2025-03-05,Email,Customer Webinar,Proposal Sent,Lead,Australia,356,76,32,16,37,2,128723,4662,879,0.3780,0.0263
2025-03-06,Partner Referral,Customer Webinar,Negotiation,Marketing Qualified Lead,North America,393,91,40,17,12,3,46944,7404,962,0.2520,0.0330
2025-03-07,Organic Search,Partner Referral,Closed Won,Sales Qualified Lead,North America,430,69,23,10,19,2,82555,5210,1045,0.2700,0.0290
2025-03-08,Paid Search,Partner Referral,Prospecting,Opportunity,North America,467,83,30,14,26,1,124228,2742,1128,0.2880,0.0120
2025-03-09,Paid Social,Partner Referral,Qualified,Customer,North America,504,99,39,20,33,2,66363,5758,1211,0.3060,0.0202
2025-03-10,Email,Partner Referral,Proposal Sent,Lead,United Kingdom,541,116,48,20,40,3,97760,9048,1294,0.3240,0.0259
2025-03-11,Partner Referral,Partner Referral,Negotiation,Marketing Qualified Lead,United Kingdom,298,69,30,13,15,2,43155,6306,1377,0.3420,0.0290
2025-03-12,Organic Search,Lifecycle Nurture,Prospecting,Sales Qualified Lead,United Kingdom,335,54,18,9,22,2,72820,6580,1460,0.3600,0.0370
2025-03-13,Paid Search,Lifecycle Nurture,Qualified,Opportunity,United Kingdom,372,66,24,12,29,2,108547,6854,1543,0.3780,0.0303
2025-03-14,Paid Social,Lifecycle Nurture,Proposal Sent,Customer,Western Europe,409,80,31,13,36,1,150336,3564,1626,0.2520,0.0125
2025-03-15,Email,Lifecycle Nurture,Negotiation,Lead,Western Europe,446,95,39,18,43,2,198187,7402,1709,0.2700,0.0211
2025-03-16,Partner Referral,Lifecycle Nurture,Closed Won,Marketing Qualified Lead,Western Europe,483,112,49,24,18,3,33156,11514,1792,0.2880,0.0268
2025-03-17,Organic Search,Q1 Demand Generation,Prospecting,Sales Qualified Lead,Western Europe,520,83,28,14,25,2,56875,7950,1875,0.3120,0.0241
2025-03-18,Paid Search,Q1 Demand Generation,Qualified,Opportunity,Australia,277,49,18,8,32,1,86656,1512,708,0.3300,0.0204
2025-03-19,Paid Social,Q1 Demand Generation,Negotiation,Customer,Australia,314,62,24,11,39,2,122499,3298,791,0.3480,0.0323
2025-03-20,Email,Q1 Demand Generation,Closed Won,Lead,Australia,351,75,31,15,14,2,50036,3572,874,0.3660,0.0267
2025-03-21,Partner Referral,Q1 Demand Generation,Prospecting,Marketing Qualified Lead,Australia,388,90,40,20,21,2,84147,3846,957,0.3840,0.0222
2025-03-22,Organic Search,Spring Product Launch,Qualified,Sales Qualified Lead,North America,440,70,24,10,28,1,124320,2060,1040,0.2580,0.0143
2025-03-23,Paid Search,Spring Product Launch,Proposal Sent,Opportunity,North America,477,85,31,14,35,2,170555,4394,1123,0.2760,0.0235
2025-03-24,Paid Social,Spring Product Launch,Negotiation,Customer,North America,514,101,39,19,42,3,88452,7002,1206,0.2940,0.0297
2025-03-25,Email,Spring Product Launch,Closed Won,Lead,North America,551,118,49,25,17,5,43163,12355,1289,0.3120,0.0424
2025-03-26,Partner Referral,Spring Product Launch,Qualified,Marketing Qualified Lead,United Kingdom,308,71,31,13,24,1,71328,2608,1372,0.3300,0.0141
2025-03-27,Organic Search,Customer Webinar,Proposal Sent,Sales Qualified Lead,United Kingdom,345,55,19,9,31,1,105555,2745,1455,0.3480,0.0182
2025-03-28,Paid Search,Customer Webinar,Negotiation,Opportunity,United Kingdom,382,68,25,12,38,2,145844,5764,1538,0.3660,0.0294
2025-03-29,Paid Social,Customer Webinar,Closed Won,Customer,United Kingdom,419,82,32,16,13,2,55523,6038,1621,0.3840,0.0244
2025-03-30,Email,Customer Webinar,Prospecting,Lead,Western Europe,456,98,41,17,20,3,94080,9468,1704,0.2580,0.0306
2025-03-31,Partner Referral,Customer Webinar,Qualified,Marketing Qualified Lead,Western Europe,493,114,50,22,27,4,52299,13172,1787,0.2760,0.0351
2025-04-01,Organic Search,Partner Referral,Proposal Sent,Sales Qualified Lead,Western Europe,530,85,29,14,34,1,80580,3430,1870,0.2940,0.0118
2025-04-02,Paid Search,Partner Referral,Closed Won,Opportunity,Western Europe,287,51,19,10,41,1,114923,3567,703,0.3120,0.0196
2025-04-03,Paid Social,Partner Referral,Prospecting,Customer,Australia,324,64,25,11,16,1,51776,3704,786,0.3300,0.0156
2025-04-04,Email,Partner Referral,Qualified,Lead,Australia,361,77,32,14,23,2,84387,7682,869,0.3480,0.0260
2025-04-05,Partner Referral,Partner Referral,Proposal Sent,Marketing Qualified Lead,Australia,398,92,40,19,30,3,123060,11934,952,0.3660,0.0326
2025-04-06,Organic Search,Lifecycle Nurture,Negotiation,Sales Qualified Lead,Australia,435,70,24,12,37,2,167795,3030,1035,0.3840,0.0286
2025-04-07,Paid Search,Lifecycle Nurture,Closed Won,Opportunity,North America,472,84,31,13,12,1,59616,1652,1118,0.2580,0.0119
2025-04-08,Paid Social,Lifecycle Nurture,Prospecting,Customer,North America,509,100,39,18,19,2,41819,3578,1201,0.2760,0.0200
2025-04-09,Email,Lifecycle Nurture,Proposal Sent,Lead,North America,546,117,49,24,26,3,68484,5778,1284,0.2940,0.0256
2025-04-10,Partner Referral,Lifecycle Nurture,Negotiation,Marketing Qualified Lead,North America,303,70,31,16,33,2,101211,4126,1367,0.3120,0.0286
